1005 3015
409 442 23
289 391 22
451 200 87
127 552 54
894 477 59
871 606 46
101 100 48
67 709 92
392 330 93
241 217 97
95 439 78
938 71 22
863 195 98
144 44 11
63 36 86
390 835 96
60 280 54
465 540 26
77 670 89
336 910 85
399 756 19
561 483 73
998 858 58
465 517 10
679 573 41
244 671 20
182 370 47
865 929 98
415 254 77
55 364 22
828 990 65
787 377 99
190 407 44
865 616 51
223 191 52
409 115 54
562 319 49
419 836 52
569 103 46
333 41 41
852 784 48
745 599 23
150 210 14
649 255 46
869 88 85
851 810 100
887 867 93
175 773 39
75 419 25
886 932 81
18 17 75
416 348 43
453 378 6
358 15 32
91 447 5
59 696 46
891 72 4
427 207 3
105 622 43
629 868 80
621 619 77
674 442 59
25 24 78
393 280 72
458 687 61
636 338 82
191 148 25
488 17 9
455 167 33
34 37 22
730 305 1
338 13 32
104 43 45
903 106 15
19 277 29
626 292 81
220 40 66
62 595 21
109 515 19
3 698 90
936 813 54
862 234 94
356 350 84
533 325 59
507 368 77
171 202 40
717 432 56
772 943 80
833 147 43
263 188 50
849 454 11
418 460 19
913 944 8
212 357 41
511 820 42
681 159 68
895 640 22
282 120 66
659 319 29
580 733 6
683 835 40
309 123 29
558 498 89
658 809 36
439 187 95
978 702 18
167 402 16
175 535 60
319 268 90
749 6 35
336 570 1
468 6 43
86 788 80
265 821 85
449 734 53
50 317 56
737 455 76
524 54 8
7 20 88
274 40 18
745 170 57
17 9 98
115 609 88
782 506 64
81 622 38
30 636 29
704 818 84
611 453 11
354 11 47
439 618 12
112 654 68
531 562 86
664 331 92
588 914 57
205 105 73
580 922 87
481 625 74
343 742 88
22 16 98
122 3 63
522 295 22
860 399 99
2 916 58
656 286 1
698 690 35
515 198 10
92 989 9
92 15 62
903 901 18
191 530 48
33 468 80
85 511 26
37 11 45
517 778 19
704 646 42
421 346 35
645 296 100
911 678 77
703 66 97
943 663 98
590 871 88
148 142 65
937 207 35
287 385 31
995 111 21
542 298 7
487 179 69
604 167 94
1001 461 94
339 70 67
393 141 56
83 111 68
561 692 17
199 112 65
103 52 20
157 116 3
263 963 75
767 567 28
563 466 64
337 371 44
655 37 27
33 124 95
614 243 69
501 446 72
115 985 14
48 535 62
33 24 58
29 953 65
323 262 38
536 833 54
494 282 62
905 694 77
507 486 18
664 126 48
144 226 8
377 318 38
34 186 54
647 552 76
247 933 83
629 805 47
141 250 42
992 480 91
521 792 66
209 145 10
542 392 55
577 186 86
179 676 12
873 505 29
195 164 65
265 201 76
14 931 24
706 302 92
722 528 70
313 152 45
632 112 15
286 58 35
919 185 6
426 211 72
991 540 99
255 248 96
431 999 25
509 535 12
267 472 72
968 653 95
277 136 59
488 151 31
485 665 84
628 222 12
560 614 7
133 115 67
972 534 11
122 693 100
530 747 57
1005 619 76
292 162 10
260 948 63
804 195 61
462 858 73
282 232 92
108 122 78
283 355 48
345 789 67
403 373 69
181 18 70
124 891 11
517 25 83
137 49 4
846 153 69
635 999 54
513 67 3
78 39 16
662 62 30
807 10 66
995 442 39
172 299 76
902 476 25
717 525 70
64 510 60
480 456 36
633 799 28
278 454 26
13 664 98
851 1000 27
180 1005 34
967 775 26
747 574 88
106 20 96
233 578 86
353 726 61
298 64 39
954 369 63
199 85 60
29 8 6
938 378 83
43 19 29
644 157 68
852 617 65
485 369 33
862 837 88
595 68 70
275 43 87
498 100 3
682 225 52
434 279 52
62 17 42
518 566 27
819 667 76
671 317 63
917 904 86
271 13 64
301 353 90
978 932 63
592 63 13
672 860 16
838 937 48
910 236 38
177 204 56
460 336 44
700 882 76
479 737 68
782 851 34
250 653 90
537 158 27
858 742 91
451 358 73
606 439 56
828 17 59
679 826 89
640 545 40
322 94 98
553 381 11
509 219 78
24 4 53
713 390 62
480 551 29
262 929 46
448 809 88
949 928 57
738 765 8
665 543 26
871 549 72
494 191 97
849 261 40
493 149 36
416 440 64
90 463 88
189 144 74
499 220 19
867 35 83
760 560 1
530 622 86
566 37 16
772 97 90
466 455 65
351 252 7
272 256 14
611 248 72
632 63 17
269 896 3
933 550 63
783 349 14
758 902 13
20 240 40
622 390 18
995 199 26
765 274 20
501 411 63
282 751 65
180 836 28
989 757 70
173 232 90
813 797 99
251 940 18
653 151 82
693 591 87
196 130 82
750 315 21
880 610 60
257 45 52
729 934 3
994 433 12
759 998 90
721 600 70
147 125 1
332 119 54
61 18 76
252 600 67
173 236 77
802 217 44
909 739 69
551 488 39
541 532 10
538 630 33
31 145 78
405 72 27
971 306 58
666 432 97
759 3 90
864 408 22
363 702 25
681 903 11
195 350 64
22 120 75
94 81 29
300 590 45
212 110 61
362 415 62
997 427 65
397 899 72
76 85 65
55 991 19
753 841 83
924 264 54
740 471 88
117 78 36
524 184 59
184 79 16
890 370 2
78 454 87
340 305 59
340 919 22
117 656 25
539 668 68
483 710 54
839 284 54
696 226 47
407 950 63
626 507 51
875 143 88
584 919 36
938 911 27
892 967 98
316 703 99
466 5 53
187 591 78
863 671 95
441 24 14
278 114 91
656 95 11
427 9 37
603 660 56
866 72 81
957 902 72
392 970 61
641 145 69
216 481 59
855 445 20
401 288 36
153 319 60
804 156 58
649 380 46
379 201 33
294 773 83
438 252 66
84 14 86
905 395 36
472 378 12
748 710 100
893 29 38
201 143 99
227 79 35
811 548 64
978 768 48
643 467 86
279 456 69
453 394 78
622 668 32
585 467 34
806 646 68
832 412 43
694 75 70
14 30 23
62 836 23
449 231 93
269 642 84
752 123 43
311 487 51
31 477 55
676 420 30
994 563 10
659 833 12
100 965 76
77 728 94
356 705 46
214 691 41
552 967 31
552 278 82
557 403 52
687 175 30
446 654 71
631 586 2
669 664 17
325 284 87
992 620 49
834 728 54
650 122 55
332 126 26
519 124 85
325 98 88
554 49 46
793 69 79
851 837 9
158 153 68
89 20 54
993 822 2
672 783 3
18 684 96
817 24 52
712 704 9
806 996 78
948 49 14
175 126 73
244 338 53
186 522 7
451 576 18
128 116 93
454 394 38
316 273 51
926 934 96
877 521 19
997 212 74
480 756 49
90 68 87
144 330 60
173 560 49
6 1 40
859 538 14
516 973 27
846 544 25
458 553 53
369 82 72
996 185 3
482 269 61
358 572 91
415 962 56
477 892 14
438 313 46
733 364 4
496 163 66
340 920 54
4 841 81
457 486 31
850 411 78
422 358 33
224 190 89
357 15 96
63 623 77
34 117 78
856 556 98
810 449 24
805 775 49
464 104 71
10 120 72
115 168 35
477 338 82
173 586 20
351 840 75
836 59 95
107 8 46
248 141 99
352 562 99
333 617 69
215 201 53
797 226 60
6 58 60
918 891 61
565 25 73
148 550 5
761 290 64
425 910 90
483 715 10
671 688 96
703 961 72
270 883 88
271 176 28
855 798 13
415 320 35
1001 928 56
465 230 90
207 320 84
925 498 79
540 310 90
802 327 55
332 135 2
12 7 25
87 37 88
243 187 73
768 457 99
882 847 83
36 650 19
934 139 49
548 189 33
373 195 39
376 511 53
643 328 92
99 38 98
65 6 13
128 952 17
167 480 54
474 187 76
638 20 58
306 270 64
722 749 71
79 804 30
107 400 3
542 146 50
994 399 94
10 648 37
802 830 57
295 264 35
139 439 20
734 599 87
100 934 25
38 13 26
601 960 88
762 155 49
364 456 14
296 342 61
797 39 99
703 657 48
873 864 31
595 862 99
65 636 80
78 958 69
47 109 51
178 4 24
892 562 19
753 286 64
604 675 92
805 365 24
795 58 91
97 115 49
483 350 39
174 163 14
987 382 30
674 68 41
292 832 15
651 1005 23
516 229 29
859 55 72
952 247 58
830 32 49
170 255 10
944 806 34
686 177 26
413 450 98
786 348 82
704 619 91
815 825 10
359 31 32
292 102 38
308 160 40
79 52 30
831 529 70
963 24 60
839 290 32
673 672 45
172 287 30
277 639 47
506 114 36
726 695 54
946 118 38
448 334 36
255 224 44
696 188 3
43 909 18
741 89 85
842 476 17
835 565 92
843 155 13
256 262 40
22 38 1
958 905 13
797 810 2
512 74 34
693 463 39
291 512 99
768 223 67
102 73 29
317 275 60
103 270 98
561 607 19
534 162 51
373 460 79
15 807 40
147 610 62
303 288 11
418 104 36
6 412 92
876 647 57
291 110 23
803 471 97
904 761 46
60 635 10
973 874 40
572 373 48
562 580 27
990 696 76
609 318 17
984 121 19
68 45 89
537 273 8
168 479 71
837 230 1
163 800 61
67 360 5
733 380 91
614 336 11
582 354 23
393 680 72
374 971 70
109 100 21
503 890 42
202 942 20
848 979 51
572 863 33
987 89 82
853 767 61
273 90 68
11 720 25
567 850 70
337 28 42
85 70 73
877 280 67
318 138 51
725 206 64
452 234 67
268 241 78
568 50 40
416 990 83
139 337 48
446 303 28
440 184 42
582 79 18
905 843 80
353 51 3
154 441 74
532 797 71
108 82 13
15 479 97
555 382 94
184 277 35
683 805 69
262 1000 87
570 769 6
793 285 19
655 690 19
852 610 87
533 473 32
821 398 38
317 589 63
112 144 1
311 170 79
528 795 87
27 251 67
543 316 29
617 610 51
855 627 85
387 309 6
397 859 90
344 816 19
433 423 5
470 3 17
86 36 61
754 914 75
362 764 48
383 49 15
567 256 48
428 347 70
140 760 79
24 608 44
424 391 63
973 778 65
691 506 64
20 208 49
60 37 71
426 133 83
259 916 19
964 371 9
457 471 14
963 376 56
372 187 72
545 9 66
287 1002 34
937 958 58
831 103 84
399 898 63
497 269 8
16 331 69
87 816 20
948 572 97
297 52 87
152 544 77
47 811 65
922 555 99
706 281 51
19 51 13
279 955 65
123 86 50
330 289 34
225 144 44
565 312 94
53 298 97
178 813 60
374 705 9
995 402 97
85 90 30
599 29 91
70 215 16
180 262 39
572 960 56
942 34 23
993 742 62
611 752 21
5 259 57
444 979 19
11 115 5
384 239 71
222 202 79
435 303 25
233 664 90
221 94 27
673 945 11
83 543 18
206 484 44
854 464 10
880 233 68
34 28 8
328 61 74
753 603 18
663 271 41
743 599 69
254 248 63
973 688 89
873 393 29
543 133 71
351 225 38
667 594 10
83 60 14
419 441 53
17 804 48
852 312 69
868 770 75
241 342 9
439 446 90
555 599 83
348 396 80
285 708 46
759 783 53
329 175 10
45 230 70
50 910 95
177 970 88
932 716 32
920 404 12
702 914 31
155 73 93
808 78 32
290 682 90
451 203 19
848 414 1
818 600 31
623 581 39
678 964 63
17 115 71
469 317 67
136 736 85
52 279 8
69 45 77
71 986 98
568 76 60
748 926 76
80 49 67
251 173 87
270 921 85
423 375 8
200 316 21
305 146 16
793 319 5
79 517 26
647 365 25
742 973 26
583 152 72
177 4 12
576 109 57
238 707 35
677 740 43
847 517 50
89 289 66
519 819 32
245 960 20
71 594 66
51 83 14
301 185 58
913 909 80
625 384 85
295 22 77
430 722 17
557 873 92
395 247 5
370 654 14
624 280 4
941 470 80
233 20 32
993 22 42
198 428 16
536 25 91
731 258 62
274 14 31
751 273 95
21 10 39
161 138 55
926 764 20
227 424 10
163 100 67
578 81 29
936 408 45
505 510 61
640 461 30
468 240 10
335 594 44
200 590 49
410 584 28
544 287 58
289 772 58
822 796 59
360 869 94
556 601 34
218 816 75
789 754 37
837 612 38
923 371 41
475 307 40
260 794 18
952 507 24
169 26 33
513 157 33
872 390 15
68 867 47
991 749 64
885 456 61
24 639 85
592 380 70
474 531 33
83 332 95
380 159 36
233 875 61
775 908 91
892 966 48
433 53 42
182 150 52
272 650 92
297 84 42
956 261 79
264 390 1
250 70 99
212 302 90
396 146 46
167 99 33
633 503 64
281 21 82
145 300 70
287 582 56
263 690 74
978 885 39
774 558 80
181 351 6
482 735 24
51 35 94
402 35 52
208 975 39
600 299 6
957 861 37
172 149 8
867 609 38
718 378 83
629 190 96
788 214 50
940 588 73
79 3 43
44 130 91
672 95 76
637 254 86
540 934 84
462 657 7
380 826 38
112 913 83
35 955 96
572 299 83
550 664 67
463 277 11
870 852 17
326 27 88
457 899 67
756 213 90
186 62 27
118 117 46
399 81 47
741 566 2
124 584 39
416 659 99
591 525 40
575 277 44
705 119 87
275 809 47
472 301 34
590 556 21
627 292 42
372 160 83
917 733 45
812 110 37
794 912 26
959 52 20
476 588 74
850 590 9
732 726 26
389 450 12
958 713 43
753 334 21
941 573 46
875 697 9
262 419 32
918 330 14
755 860 49
289 333 98
618 161 3
534 465 75
360 785 95
555 20 50
376 812 28
458 71 85
61 59 100
675 948 67
197 746 80
806 312 86
593 965 65
635 495 13
287 14 6
28 16 59
117 26 48
113 900 2
84 536 95
976 815 73
965 345 21
743 731 68
723 779 33
774 582 47
218 55 31
305 412 28
525 45 19
451 429 29
4 10 88
112 408 50
737 235 42
490 378 36
815 799 99
138 47 97
800 250 62
319 39 93
191 396 46
556 287 89
756 884 77
52 430 97
736 117 55
110 504 9
202 159 82
657 116 72
859 159 21
677 213 39
904 23 30
780 327 68
454 195 40
75 637 24
358 233 92
405 176 60
934 474 43
7 720 77
973 346 58
860 161 26
153 300 56
918 377 77
528 213 54
746 15 43
972 108 78
13 5 95
420 384 79
699 994 77
309 201 91
173 54 40
238 193 21
338 568 88
918 331 81
550 597 50
863 769 84
709 173 87
139 833 58
473 185 17
398 292 58
40 70 78
434 536 55
672 73 87
1001 953 98
234 263 46
183 487 10
469 655 41
848 933 58
722 518 5
273 709 69
717 838 15
132 45 30
514 394 24
143 167 43
513 640 83
72 160 67
39 950 21
749 272 29
82 229 97
13 670 49
386 640 72
370 828 88
743 572 69
585 971 59
659 642 68
15 46 70
456 875 95
594 251 55
208 290 27
818 935 11
483 726 12
738 500 57
213 120 18
887 13 51
757 1003 6
294 46 63
345 617 12
388 865 46
530 396 72
742 463 16
142 101 15
306 634 39
509 355 97
51 45 38
26 277 81
965 519 79
702 445 56
941 12 1
93 76 60
843 778 52
953 245 1
968 601 31
235 231 40
832 623 70
754 45 41
923 286 7
61 474 39
708 80 35
482 198 13
773 725 18
862 146 46
291 322 77
289 341 26
187 31 63
505 529 27
29 476 31
806 805 77
82 78 38
812 741 28
184 380 49
702 481 54
739 183 94
62 360 39
947 384 2
486 842 84
882 395 19
111 450 81
314 223 39
235 610 72
143 281 92
266 189 91
55 31 72
470 355 22
639 400 82
573 554 93
71 43 62
196 381 40
249 50 84
971 590 49
64 29 53
427 275 1
808 325 94
731 949 29
448 14 26
895 843 8
463 998 7
68 535 8
794 859 36
93 687 44
685 506 35
185 999 36
869 448 49
887 672 29
401 953 74
571 903 51
368 114 12
54 546 93
983 786 83
218 807 2
845 92 16
499 804 26
927 970 44
635 293 87
748 292 47
991 448 25
980 829 80
233 993 60
912 725 65
943 727 63
46 8 60
343 88 69
462 357 15
355 100 53
789 945 49
332 249 92
90 220 12
87 673 55
539 122 99
932 736 48
7 13 50
712 951 85
852 761 35
61 699 51
288 59 13
210 818 9
819 5 53
223 975 76
655 32 53
865 251 35
375 122 78
538 20 68
475 968 12
717 883 21
709 700 6
710 608 58
193 970 98
34 370 85
951 958 69
432 655 62
347 445 99
419 51 29
559 418 82
792 315 65
967 347 33
497 900 30
246 869 56
761 404 97
361 880 36
785 970 6
75 839 96
846 567 37
471 993 91
742 988 30
377 389 87
732 97 55
868 575 38
644 307 39
248 500 31
250 688 42
234 197 25
395 405 60
29 747 9
612 773 36
833 525 32
558 285 67
153 105 45
861 292 29
677 624 3
346 689 66
517 317 42
219 118 2
224 265 46
231 473 23
274 584 18
17 552 30
981 734 4
177 358 74
114 98 26
456 375 39
749 71 79
241 81 21
167 87 76
136 493 21
896 166 51
4 298 14
675 465 76
907 690 40
452 15 53
656 647 58
680 161 82
898 540 29
641 68 17
381 8 42
955 205 17
31 17 48
580 652 8
449 718 61
811 253 29
324 10 11
438 393 26
378 52 70
661 489 64
539 369 23
585 175 93
473 60 81
989 245 53
495 825 96
838 118 6
444 287 78
353 598 87
232 420 85
811 665 99
791 68 14
684 409 57
619 28 1
509 585 27
452 165 32
50 369 92
717 831 31
617 128 41
246 838 73
803 980 60
456 825 57
834 423 67
597 34 76
724 132 57
299 861 74
833 528 88
216 96 37
111 825 84
632 962 66
432 179 6
825 80 99
386 359 88
217 289 50
290 729 80
64 420 40
1000 513 98
97 634 85
736 135 70
318 635 84
502 33 21
609 825 20
979 436 97
661 947 78
119 92 20
130 470 75
968 157 61
504 583 63
274 961 6
120 89 2
802 175 36
844 685 17
536 382 10
209 533 2
355 177 44
495 285 18
683 171 27
891 544 31
83 506 54
752 58 63
187 155 48
847 205 60
680 764 61
196 131 88
835 18 61
782 97 92
804 694 27
466 626 58
849 98 77
60 12 96
952 485 41
697 662 49
194 747 67
81 78 89
170 150 78
81 835 38
583 516 16
1003 223 39
372 583 1
713 462 73
483 66 92
395 200 88
284 58 89
23 3 53
716 436 41
986 820 84
558 187 71
72 31 67
319 741 66
318 454 76
591 990 29
162 50 14
720 674 87
546 924 42
430 630 1
327 254 48
389 210 33
816 410 79
678 655 5
111 49 61
825 755 27
951 328 98
526 735 10
907 906 93
307 77 38
318 810 87
652 493 31
47 25 53
269 9 77
38 579 83
258 719 25
347 316 68
229 98 70
280 950 65
285 231 73
827 673 10
571 291 48
159 152 95
668 948 28
609 980 66
661 160 70
871 617 9
376 32 79
128 74 9
59 27 50
660 395 31
622 108 56
631 878 34
701 400 9
148 583 12
267 36 95
765 668 87
876 41 61
126 320 4
467 355 80
147 7 99
299 163 42
873 143 62
708 147 3
444 250 19
819 661 44
398 315 80
561 946 38
298 93 13
835 778 44
568 24 10
427 766 74
52 337 44
171 215 4
625 274 1
999 714 9
57 825 74
723 264 9
152 105 39
437 876 82
505 211 10
800 407 69
498 83 89
803 317 44
135 97 29
535 757 52
24 836 38
789 592 16
191 286 13
663 377 93
536 783 95
147 260 11
190 94 34
895 642 8
349 614 65
108 263 4
339 307 51
778 505 44
292 860 42
187 607 15
146 693 88
176 156 51
761 79 40
586 181 83
326 363 55
760 124 40
61 64 91
666 18 80
211 22 1
374 174 81
835 871 13
750 474 10
741 832 49
433 990 1
585 768 53
2 286 77
602 7 4
162 437 42
231 586 92
19 346 16
691 582 34
148 421 38
468 543 78
33 318 20
330 269 45
283 68 43
348 375 23
715 3 47
342 11 86
864 69 64
61 630 13
435 168 25
250 64 67
794 851 52
653 120 59
457 162 21
504 455 92
928 360 1
890 728 100
872 820 92
573 333 81
83 470 12
688 911 1
304 890 29
513 164 64
539 704 6
335 305 58
999 256 67
978 313 47
604 53 1
547 681 35
795 211 33
498 635 39
297 956 12
796 663 4
17 484 35
670 967 6
59 811 78
306 273 82
63 154 44
49 377 42
577 986 46
29 10 20
344 203 8
161 32 98
567 987 79
618 224 80
460 577 41
74 2 79
276 163 31
348 740 32
425 162 12
584 626 42
344 542 84
886 308 92
911 351 57
378 45 41
975 110 49
189 629 75
605 926 40
281 990 50
818 866 9
943 150 24
16 9 40
256 93 73
39 4 27
419 536 74
711 527 30
216 293 4
546 227 7
225 343 73
486 305 97
518 5 5
198 90 93
427 916 56
88 41 2
295 705 23
925 429 35
863 623 42
290 789 53
147 6 65
909 211 25
707 857 64
442 228 58
858 227 60
417 186 56
745 850 66
611 298 53
570 987 56
906 810 41
10 223 92
962 62 57
105 88 1
9 7 15
615 394 96
124 51 25
202 508 93
49 13 22
165 875 55
686 968 96
805 1005 80
421 121 79
792 113 45
522 509 36
209 65 23
857 17 100
37 40 37
148 490 45
815 558 87
279 101 30
583 614 98
874 96 3
817 57 6
989 680 13
940 827 13
833 17 66
302 146 20
390 926 78
228 670 18
944 771 76
896 744 70
529 297 61
929 553 32
1005 70 23
280 750 75
547 405 80
789 609 99
938 982 19
345 299 53
700 580 53
916 846 66
200 741 84
729 553 84
430 1004 10
924 794 20
1004 962 6
429 113 62
12 190 8
739 688 51
389 582 100
410 429 38
459 308 100
450 671 2
557 66 43
710 389 12
169 889 14
678 694 60
491 842 32
102 60 44
732 797 29
978 780 59
551 388 13
183 157 89
173 561 42
521 380 87
255 824 15
640 368 21
798 217 86
922 200 33
799 717 25
495 326 90
940 489 51
139 47 61
847 434 73
811 78 12
523 63 32
83 866 79
168 96 73
411 547 39
859 192 81
705 644 24
975 162 28
334 297 80
192 10 26
776 568 23
353 24 91
367 994 91
30 926 82
211 829 74
447 430 86
45 755 63
56 582 32
32 190 51
488 216 3
6 697 74
264 34 37
44 15 18
468 966 46
579 462 22
487 101 2
247 717 23
484 176 64
289 741 4
88 766 83
459 603 36
200 392 16
629 420 66
336 255 66
597 54 88
884 510 4
604 827 46
202 452 12
116 39 84
47 59 25
179 400 89
585 136 6
369 127 68
622 399 31
725 290 39
406 174 93
782 709 17
464 1001 1
447 266 25
74 110 19
586 931 56
744 142 50
1003 982 55
145 71 73
72 164 95
1003 74 29
846 19 26
582 25 69
898 780 92
956 193 30
779 11 51
27 17 27
814 56 97
296 289 68
374 534 45
596 386 84
481 530 72
809 194 90
484 76 47
905 197 55
956 810 67
323 61 87
352 341 12
497 313 86
246 42 70
45 22 50
582 589 78
698 107 38
333 276 3
10 930 54
610 786 56
826 820 58
703 324 55
314 919 10
389 246 82
791 147 50
368 756 90
972 320 59
45 168 18
591 735 81
77 59 40
998 975 21
586 883 60
562 143 36
880 265 88
910 469 4
18 150 72
170 920 11
326 609 45
725 949 70
274 750 17
133 341 11
594 606 9
139 113 28
404 105 48
46 792 78
945 265 30
82 739 78
493 347 15
8 4 84
717 747 31
489 235 22
525 2 93
698 507 86
92 43 31
857 573 26
701 841 87
215 279 73
44 91 84
584 27 56
432 121 5
811 87 76
784 779 28
569 106 16
118 63 11
345 807 68
807 108 19
577 517 34
118 106 78
259 241 16
718 244 4
915 925 47
541 371 78
813 571 12
775 574 26
83 600 26
947 581 89
633 807 7
775 656 3
867 614 55
54 39 42
112 98 85
478 221 76
117 701 34
108 336 22
899 229 58
587 154 11
191 741 8
729 567 30
789 653 47
71 973 16
158 250 35
433 164 22
261 228 43
226 5 50
973 889 84
2 1 62
174 904 21
268 405 18
157 292 92
999 367 88
98 60 21
895 713 38
455 372 65
10 696 84
364 67 15
472 897 90
377 18 72
835 797 22
616 592 44
351 508 78
807 506 63
894 537 29
519 800 53
899 850 49
9 995 50
400 907 62
972 722 59
472 302 10
872 349 92
710 691 5
202 161 25
585 770 78
280 82 78
194 662 19
686 12 79
535 662 62
817 17 33
429 146 51
262 37 79
855 169 24
674 354 90
589 197 51
472 227 61
312 283 55
522 624 34
117 67 27
927 303 96
75 64 57
697 438 48
548 145 40
503 788 34
596 354 63
778 686 20
187 895 38
125 78 11
673 344 69
871 994 99
348 631 21
136 621 30
753 33 42
756 352 26
821 490 6
304 143 71
637 317 3
271 585 77
902 935 50
291 376 16
391 272 9
405 149 52
668 439 94
681 292 32
98 232 42
691 793 44
458 860 44
183 54 48
269 91 29
253 486 70
761 660 43
740 462 85
299 671 70
396 15 34
253 158 18
64 878 32
371 583 53
450 146 55
555 134 42
352 570 74
926 594 6
818 607 62
683 82 3
712 266 47
762 278 39
341 596 61
919 714 18
155 657 94
947 21 37
406 37 19
552 325 9
99 165 45
161 118 22
941 379 55
550 898 76
8 622 63
189 281 50
